id,question_text,question_type,tech_stack,difficulty_level,topic,option_a,option_b,option_c,option_d,correct_answer,sample_answer,key_points
1,Which of the following is NOT a property of ACID transactions?,mcq,DBMS,easy,Transactions,Atomicity,Consistency,Isolation,Availability,D,"ACID properties are Atomicity, Consistency, Isolation, and Durability. Availability is not one of the ACID properties.","[""ACID stands for Atomicity, Consistency, Isolation, Durability"", ""Availability is a separate database characteristic"", ""ACID ensures transaction reliability""]"
2,"What is the difference between DELETE, TRUNCATE, and DROP commands in SQL?",short_answer,DBMS,medium,SQL Commands,,,,,,,"DELETE removes specific rows based on conditions and can be rolled back. TRUNCATE removes all rows from a table, is faster, and cannot be rolled back. DROP removes the entire table structure and data permanently."
3,Explain the concept of database normalization and its advantages.,long_answer,DBMS,medium,Normalization,,,,,,,"Database normalization is the process of organizing data in a database to reduce redundancy and improve data integrity. It involves dividing large tables into smaller, related tables and defining relationships between them. Advantages include reduced data redundancy, improved data consistency, easier maintenance, and better storage efficiency."
4,Which isolation level prevents dirty reads but allows phantom reads?,mcq,DBMS,medium,Isolation Levels,Read Uncommitted,Read Committed,Repeatable Read,Serializable,B,"Read Committed isolation level prevents dirty reads by ensuring transactions can only read committed data, but it still allows phantom reads and non-repeatable reads.","[""Read Committed prevents dirty reads"", ""Phantom reads still possible"", ""Non-repeatable reads allowed"", ""Balance between consistency and performance""]"
5,What is a deadlock in database systems and how can it be prevented?,short_answer,DBMS,hard,Concurrency Control,,,,,,,"A deadlock occurs when two or more transactions are waiting indefinitely for each other to release resources. Prevention methods include: timeout mechanisms, deadlock detection algorithms, ordering resources consistently, and using timestamp-based protocols."
6,What is the difference between a process and a thread?,short_answer,Operating Systems,easy,Process Management,,,,,,,A process is an independent program in execution with its own memory space. A thread is a lightweight subprocess that shares memory space with other threads in the same process. Threads have lower overhead for creation and context switching.
7,Which of the following is a non-preemptive scheduling algorithm?,mcq,Operating Systems,easy,CPU Scheduling,Round Robin,Shortest Remaining Time First,First Come First Serve,Multilevel Queue,C,"First Come First Serve (FCFS) is non-preemptive because once a process starts execution, it runs to completion without being interrupted by the scheduler.","[""Non-preemptive means no interruption"", ""FCFS runs processes to completion"", ""Other options allow preemption"", ""Simple but can cause convoy effect""]"
8,Which scheduling algorithm can cause starvation?,mcq,Operating Systems,medium,CPU Scheduling,Round Robin,Shortest Job First,First Come First Serve,Priority Scheduling,B,Shortest Job First (SJF) can cause starvation because long processes may never get executed if shorter processes keep arriving continuously.,"[""Starvation means indefinite waiting"", ""SJF prioritizes shorter jobs"", ""Long jobs may never execute"", ""Solution: aging technique""]"
9,Explain the concept of virtual memory and its benefits.,long_answer,Operating Systems,medium,Memory Management,,,,,,,"Virtual memory is a memory management technique that allows programs to use more memory than physically available by using disk storage as an extension of RAM. Benefits include: ability to run larger programs, better multiprogramming, memory protection between processes, and efficient memory utilization through paging and segmentation."
10,What is thrashing in operating systems and how can it be avoided?,short_answer,Operating Systems,hard,Memory Management,,,,,,,"Thrashing occurs when a system spends more time swapping pages between memory and disk than executing actual processes. It can be avoided by: reducing multiprogramming degree, increasing physical memory, using working set model, and implementing proper page replacement algorithms."
11,Explain the difference between TCP and UDP protocols.,short_answer,Computer Networks,easy,Transport Layer,,,,,,,"TCP is connection-oriented, reliable, and provides ordered delivery with error checking. UDP is connectionless, faster, but unreliable with no guarantee of delivery or order. TCP is used for web browsing, email; UDP for streaming, gaming."
12,Which layer of the OSI model is responsible for routing?,mcq,Computer Networks,easy,OSI Model,Transport Layer,Network Layer,Data Link Layer,Physical Layer,B,The Network Layer (Layer 3) is responsible for routing packets between different networks using logical addressing and routing protocols.,"[""Network Layer handles routing"", ""Layer 3 of OSI model"", ""Logical addressing"", ""Inter-network communication""]"
13,What is the purpose of NAT (Network Address Translation)?,short_answer,Computer Networks,medium,Network Layer,,,,,,,"NAT translates private IP addresses to public IP addresses, allowing multiple devices on a private network to share a single public IP address for internet access. It provides security by hiding internal network structure and conserves public IP addresses."
14,What is the maximum number of hosts possible in a /24 subnet?,mcq,Computer Networks,medium,Subnetting,256,254,255,128,B,"A /24 subnet has 8 host bits (32-24=8), giving 2^8 = 256 total addresses. Subtracting network address and broadcast address leaves 254 usable host addresses.","[""8 host bits in /24 subnet"", ""256 total addresses"", ""Network and broadcast addresses reserved"", ""254 usable host addresses""]"
15,Explain how HTTPS ensures secure communication over the internet.,long_answer,Computer Networks,hard,Application Layer,,,,,,,"HTTPS uses SSL/TLS encryption to secure HTTP communication. It provides: 1) Encryption of data in transit using symmetric and asymmetric cryptography, 2) Authentication through digital certificates to verify server identity, 3) Data integrity checks to detect tampering. The handshake process establishes secure connection parameters before data exchange."
16,What are the four pillars of Object-Oriented Programming?,short_answer,OOP,easy,OOP Fundamentals,,,,,,,"The four pillars are: 1) Encapsulation - bundling data and methods together, 2) Inheritance - creating new classes based on existing ones, 3) Polymorphism - same interface for different data types, 4) Abstraction - hiding complex implementation details."
17,Which OOP concept allows a class to have multiple methods with the same name?,mcq,OOP,easy,Polymorphism,Inheritance,Encapsulation,Polymorphism,Abstraction,C,Polymorphism allows multiple methods with the same name but different parameters (method overloading) or different implementations in derived classes (method overriding).,"[""Method overloading and overriding"", ""Same name, different behavior"", ""Compile-time and runtime polymorphism"", ""Flexibility in method implementation""]"
18,Explain the difference between method overloading and method overriding.,short_answer,OOP,medium,Polymorphism,,,,,,,Method overloading occurs when multiple methods in the same class have the same name but different parameters (compile-time polymorphism). Method overriding occurs when a subclass provides a specific implementation of a method defined in its parent class (runtime polymorphism).
19,Which access modifier makes a member accessible only within the same package?,mcq,OOP,medium,Access Modifiers,private,protected,public,final,B,"Protected access modifier allows access within the same package and by subclasses, even if they are in different packages. However, the question specifically asks for same package only, which is the default (package-private) access, but protected is the closest option.","[""Package-level access control"", ""Inheritance considerations"", ""Access modifier hierarchy"", ""Encapsulation principles""]"
20,What is the diamond problem in multiple inheritance and how is it resolved?,long_answer,OOP,hard,Inheritance,,,,,,,"The diamond problem occurs when a class inherits from two classes that both inherit from the same base class, creating ambiguity about which parent's method to use. Solutions include: 1) Virtual inheritance in C++, 2) Interface-based inheritance in Java/C#, 3) Method resolution order in Python, 4) Explicit method resolution through scope resolution operators."
21,What are the three main service models in cloud computing?,short_answer,Cloud Computing,easy,Service Models,,,,,,,"The three main service models are: 1) IaaS (Infrastructure as a Service) - provides virtualized computing resources, 2) PaaS (Platform as a Service) - provides development and deployment platforms, 3) SaaS (Software as a Service) - provides complete applications over the internet."
22,Which cloud deployment model offers the highest level of control and security?,mcq,Cloud Computing,easy,Deployment Models,Public Cloud,Private Cloud,Hybrid Cloud,Community Cloud,B,Private cloud offers the highest level of control and security as it is dedicated to a single organization and can be customized according to specific security and compliance requirements.,"[""Single organization dedicated resources"", ""Maximum customization possible"", ""Enhanced security controls"", ""Compliance requirements satisfaction""]"
23,Explain the concept of auto-scaling in cloud computing.,short_answer,Cloud Computing,medium,Scalability,,,,,,,"Auto-scaling automatically adjusts computing resources based on demand. It monitors metrics like CPU usage, memory, or request count, and adds or removes instances accordingly. This ensures optimal performance during traffic spikes while minimizing costs during low usage periods."
24,What is the difference between horizontal and vertical scaling?,short_answer,Cloud Computing,medium,Scalability,,,,,,,"Horizontal scaling (scale-out) adds more servers/instances to handle increased load, distributing the workload across multiple machines. Vertical scaling (scale-up) increases the power of existing servers by adding CPU, RAM, or storage. Horizontal scaling offers better fault tolerance and unlimited growth potential."
25,Describe the benefits and challenges of microservices architecture.,long_answer,Cloud Computing,hard,Architecture,,,,,,,"Benefits: 1) Independent deployment and scaling of services, 2) Technology diversity allowing different tech stacks, 3) Better fault isolation, 4) Team independence and faster development. Challenges: 1) Increased complexity in service communication, 2) Data consistency across services, 3) Network latency and reliability issues, 4) Monitoring and debugging difficulties, 5) Service discovery and configuration management."
26,What is the primary goal of DevOps practices?,short_answer,DevOps,easy,DevOps Fundamentals,,,,,,,"DevOps aims to bridge the gap between development and operations teams, enabling faster, more reliable software delivery through automation, collaboration, and continuous integration/deployment practices."
27,Which tool is commonly used for container orchestration?,mcq,DevOps,medium,Containerization,Docker,Kubernetes,Jenkins,Ansible,B,"Kubernetes is the most widely used container orchestration platform that automates deployment, scaling, and management of containerized applications across clusters of hosts.","[""Container orchestration platform"", ""Automated deployment and scaling"", ""Cluster management"", ""Service discovery and load balancing""]"
28,Explain the concept of Infrastructure as Code (IaC).,short_answer,DevOps,medium,Infrastructure,,,,,,,"IaC is the practice of managing and provisioning computing infrastructure through machine-readable configuration files rather than manual processes. It enables version control, repeatability, and automation of infrastructure deployment using tools like Terraform, CloudFormation, or Ansible."
29,What is the difference between continuous integration and continuous deployment?,short_answer,DevOps,medium,CI/CD,,,,,,,"Continuous Integration (CI) automatically builds, tests, and integrates code changes into a shared repository multiple times daily. Continuous Deployment (CD) automatically deploys all code changes that pass tests to production without manual intervention. CD extends CI by automating the release process."
30,Describe the benefits of using containerization in software deployment.,long_answer,DevOps,hard,Containerization,,,,,,,"Benefits include: 1) Consistency across environments - applications run the same everywhere, 2) Resource efficiency - containers share OS kernel, using fewer resources than VMs, 3) Fast startup times and scalability, 4) Improved DevOps workflow with easier CI/CD, 5) Better application isolation and security, 6) Simplified dependency management, 7) Enhanced portability across cloud providers and on-premises infrastructure."
